1	So that means tomorrow cruda segura lol	positive	 lang1 lang1 lang1 lang1 lang2 lang2 lang1
2	Tonight peda segura	neutral	 lang1 lang2 lang2
3	Eres tan mala vieja bruja interesada #jamming	negative	 lang2 lang2 lang2 lang2 lang2 lang2 lang1
4	Yo kiero Pretzels lol	neutral	 lang2 lang2 ne lang1
5	Fuck that ni ke el me vaya a mantener toda la vida lol	negative	 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1
6	I always tell my dad ke me kiero kasar con una vieja rika and me regaña telling me ke no sea interesada ha	negative	 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 lang2 lang2 lang2 lang2
7	Ke me compre un carrito pa irme con mis friends and party lol	neutral	 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1
8	Why can I just find a rich bitch ke me mantenga y ya ha	neutral	 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 ambiguous lang2 lang2 lang2 ambiguous
9	Since I started working ya ni disfruto la vida lol	negative	 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang1
10	My dad me regano cuzs I was telling that to my brother and lo andaba molestando lol	negative	 lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang1
11	If u still love her you should give her otro chance	positive	 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2
12	Tengo hungry mhm	neutral	 lang2 lang1 unk
13	Teachers be staring at me like im high they gotta accept my eyes parecen de camaron	neutral	 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2
14	Bien fatass ha	neutral	 lang2 lang1 lang2
