8	RT@ UAAPconfessions Love looks good on Maddie!!! Ako lang ba yung sobrang masaya kasi may zolo sya? Before with the past Z medyo lowkey s…	neutral
12	Ye Ye..... ye??????? We gonna start another June on a sour note? Uhhhh yes no yes...... no( yes)	neutral
14	@ zWffFY9JGklElA1@ Min_ Of_ Lyching@ thakurdadu089@ manakgupta@ OfficeOfKNath Mein kahna nae chahta qki mere Yaha btay… https// tco/ JWSdvvomt8	neutral
23	~ Caring.~ Bohot Jyada Caring.~ Courier wale bsdk ke sign bhi khud hi krlete h mera.	negative
24	@ AliHZaidiPTI@ SarfarazA_54 What nonesense... Kabhi baymani per bani team kamiyab nahi ho sakti... Jo log apnay liy… https// t. co/ al1WFCUTYy	positive
26	@ imVkohli Best of luck@ imVkohli sir World Cup ke liye bhot bhot subhkamnaye	positive
27	Yes. Great dialogues in that one. Also Chupke Chupke over Chhaddabeshi. All except R. G. V. Ke Sholay-) https// t. co/ MHCBkX0SnG	positive
38	@ mangeshkarlata Desh bhakti baat wahi samajh sakte hai jo khud deshbhakt Wo log to sirf Bharat tere tukde hong… https// t co/ rMdZSiwSGT	negative
45	Pakistani team ne105% effort ki Aagey Allah ki marziiiiiiiiiiiii😩😫😖😣🥺# PAKvWI# WIvPAK# CWC19# WeHaveWeWill	positive
56	@ Hussain_ NSharif@ MaryamNSharif Kiya tum apne baap ki oulad nahi.?? Kyun usy bay yaro madadgar chora hua. Kiya wo t… https// t. co/ E1mrLMGH5c	negative
59	@ TheVijayMallya@ YouTube Are Tu aa rha h ki nhi Wo modi phir se PM ban gya Chupchaap aaja sidha sidha Vrna mo… https// t co/ iQbN2nsr2S	neutral
61	@ AAPVed@ Ankita_ Shah8 Bhadve ye photo elections se pehle ki he.. jyada gyan mat baat	negative
62	@ RahulGandhi WADRAAAA NO TO BAS JAMEEN LI HAI--KISANO KO PAISA NAHI DIYA-AB JI NE FILM INDUSTRY NO1 TAK PAHUNCHAYI… https// t co/ U3zr9OCvJT	negative
69	Dusting wali safai aapke hafal kharab kardeti hai aur koi exercise bhi nahi hoti. That sucks. ive gained weight an… https// t. co/ BOH9O2oeTp	negative
71	@ sanjaynirupam Ab to shamajh jaye Rahul Gandhi kis baat k liye udash hai wo evm jeeta hai modi nahi70% log khush na… https// t. co/ EJx4MLtr14	negative
77	@ Sunita_ Sharma1@ sardanarohit@ Kavita_ Sharma4 SUNITA JI KAL JAB EVM KI SEAL TUTEGI TO JYADA DARD GODI MEDIA KE ANCHOR KO HOGA	negative
80	Narender modi ji ko pure bhumat se jeet par bhut bhut bdhayi https// t. co/6AAUDuTxbp	positive
81	@ Ahmedshabbir20 Accha kiya Invite nai kiya Most corrupted party in indian history Good politics from@ BJP4India Well done	negative
84	RT@ Meetinsan107# TheGiftOfEducation Volunteer of Dera Sacha sauda sirsa open free coaching center for needy people@ gurmeetramrahim http…	positive
87	@ Pavancharan24@ NaaIsm@ vekuvakiranam I believe this is not fake. Let's fight for a cause not the flaws. Please bhaiyya.	neutral
93	@ rssurjewala Vote pe dhayan de en sab bato se vote nahi milta Hindu Muslim caste pe dhayan de Bina vote bank ke… https// t co/3RB9zsZ4M3	neutral
107	RT@ MbVk18 Pakistan WC start hone se Pehle bol Raha tha Sab match Aise khelenge jaise India ke Against khelte h Gaand main se hawa nikal…	negative
119	lanat on your views and also upon u1000000 times may u feel better now Hypocrate https// t. co/1xmdKcJvl7	negative
121	Mahoday bahut bahut badhai jai hind Jai jawan Jai Kisaan azaade hind manish fauji Gareebo ke khoon paseene ki k… https// t. co/ vsaUq8UyIx	positive
126	@ TheSamirAbbas Hadd hai ye ladki pagal hai. Pagal ka arth hai mentally disturbed. Ranchi ya agra	negative
128	@ AnushkaSharma@ Sukhbir_ Singer@ imVkohli Bus ab hamari team jitegi hi Kyonki Anushka and Sukhnir Dual??? God bless all	positive
134	RT@ iamrajeshburman Watch# BhabijiGharParHai exciting episode on3jun-5jun. Its Sir Salman Khan Special# Bharat at# Bhabiji with his# Madam…	neutral
144	@ AsliVikrant007@ Fake_ Acc18@ vikrantgupta73@ CricTalk Yeh kaunsa Naya Pokemon hai?	neutral
145	@ SureshChavhanke Abe kutte ki sakal k musalmaan ki wazah se tere ghar ki roti chal rhi hai tere andar dam hai toh5… https// t co/2DjVQYvT8y	negative
